ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item description,Item category,Price,Sale price,Contextual keywords,Item address
272,ER552,SIMPLY SHINE HOOPS,https://poeticajewels.com/simply-shine-hoops,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/SIMPLY%20SHINE%20HOOPS/2E9A8873-750x1000.JPG,SIMPLY SHINE HOOPS,,Earrings,720 INR,,,
212,HP-07,SKY IS BLUE,https://poeticajewels.com/sky-is-blue,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/SKY%20IS%20BLUE/0N8A0497-750x1000.jpg,SKY IS BLUE,,Rings,5950 INR,,,
273,ER575,SMALL CHUNKY HOOPS,https://poeticajewels.com/small-chunky-hoops,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/SMALL%20CHUNKY%20HOOPS/2E9A8934-750x1000.JPG,SMALL CHUNKY HOOPS,,Earrings,750 INR,,,
281,ER555,SMALL CHUNKY WINDING HOOPS,https://poeticajewels.com/small-chunky-winding-hoops,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/SMALL%20CHUNKY%20WINDING%20HOOPS/2E9A8812-750x1000.JPG,SMALL CHUNKY WINDING HOOPS,,Earrings,960 INR,,,
279,ER550,SMALL SPIRAL HOOPS,https://poeticajewels.com/small-spiral-hoops,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/SMALL%20SPIRAL%20HOOPS/2E9A8864-750x1000.JPG,SMALL SPIRAL HOOPS,,Earrings,750 INR,,,
280,ER551,SMALL WINDING HOOPS,https://poeticajewels.com/small-winding-hoops,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/SMALL%20WINDING%20HOOPS/2E9A8872-750x1000.JPG,SMALL WINDING HOOPS,,Earrings,850 INR,,,
232,HP-27,SMOKY BLACK,https://poeticajewels.com/smoky-black,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/SMOKY%20BLACK/0N8A0706-750x1000.jpg,SMOKY BLACK,,Rings,2950 INR,,,
274,ER560,SOFT SQUARE STUDS,https://poeticajewels.com/soft-square-studs,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/SOFT%20SQUARE/2E9A8844-750x1000.JPG,SOFT SQUARE STUDS,,Earrings,900 INR,,,
217,HP-14,SPARKLING GLORY,https://poeticajewels.com/sparkling-glory,https://poeticajewels.com/,SPARKLING GLORY,,Earrings,3250 INR,,,
275,ER558,SPOTLIGHT STUDS,https://poeticajewels.com/spotlight-studs,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/SPOTLIGHT%20STUDS/2E9A8836-750x1000.JPG,SPOTLIGHT STUDS,,Earrings,900 INR,,,
276,ER547,SPRING LEAF,https://poeticajewels.com/spring-leaf,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/SPRING%20LEAF/2E9A8907-750x1000.JPG,SPRING LEAF,,Earrings,890 INR,,,
218,HP-15,STARRY NIGHTS,https://poeticajewels.com/starry-nights,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/STARRY%20NIGHTS/0N8A0590-750x1000.jpg,STARRY NIGHTS,,Earrings,3250 INR,,,
209,HP-04,SUNNY GLOW,https://poeticajewels.com/sunny-glow,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/SUNNY%20GLOW/0N8A0611-750x1000.jpg,SUNNY GLOW,,Earrings,2950 INR,,,
277,ER564,SUNSHINE GLOW,https://poeticajewels.com/sunshine-glow,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/SUNSHINE%20GLOW/2E9A8796-750x1000.JPG,SUNSHINE GLOW,,Earrings,990 INR,,,
278,ER549,SWEETHEART HOOPS,https://poeticajewels.com/sweetheart-hoops,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/SWEETHEART%20HOOPS/2E9A8928-750x1000.JPG,SWEETHEART HOOPS,,Earrings,1250 INR,,,
220,HP-17,SWINGING HOOPS (BLACK),https://poeticajewels.com/swinging-hoops-black,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/SWINGING%20HOOPS%20(BLACK)/0N8A0795-750x1000.jpg,SWINGING HOOPS (BLACK),,Earrings,1995 INR,,,
225,HP-21,SWINGING HOOPS (BLUE),https://poeticajewels.com/swinging-hoops-blue,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/SWINGING%20HOOPS%20(BLUE)/0N8A0739-750x1000.jpg,SWINGING HOOPS (BLUE),,Earrings,1995 INR,,,
211,HP-06,SWINGING HOOPS (WHITE),https://poeticajewels.com/swinging-hoops-white,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/SWINGING%20HOOPS/0N8A0831-750x1000.jpg,SWINGING HOOPS (WHITE),,Earrings,1995 INR,,,
227,HP-23,TREE OF LIFE,https://poeticajewels.com/tree-of-life,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/TREE%20OF%20LIFE/0N8A0754-750x1000.jpg,TREE OF LIFE,,Earrings,1950 INR,,,
282,ER546,TREE OF LIFE STUDS,https://poeticajewels.com/tree-of-life-studs,https://poeticajewels.com/https://poeticajewels.com/image/cache/catalog/products/Happiness%20Collection/TREE%20OF%20LIFE%20STUDS/2E9A8821-750x1000.JPG,TREE OF LIFE STUDS,,Earrings,850 INR,,,
